transaction_id,date,department,expense_category,vendor,amount_inr,cost_center,approved_by,description,month,day_of_week,is_weekend,flag_statistical_outlier,flag_isolation_forest,flag_possible_duplicate,any_flag
TXN01093,2025-04-08,Procurement,Travel & Conveyance,IRCTC,10500.0,CC-PRO-3,EMP1019,Travel & Conveyance - routine procurement expense,2025-04,Tuesday,False,False,False,False,False
TXN01064,2025-04-09,Production,Equipment Maintenance,Local Workshop Co,54500.0,CC-PRO-3,EMP1021,Equipment Maintenance - routine production expense,2025-04,Wednesday,False,False,False,False,False
TXN01720,2025-04-09,Production,Utilities,State Electricity Board,70900.0,CC-PRO-2,EMP1038,Utilities - routine production expense,2025-04,Wednesday,False,False,False,False,False
TXN00683,2025-04-10,It,Training & Seminars,Internal Training Cell,14100.0,CC-IT-1,EMP1021,Training & Seminars - routine it expense,2025-04,Thursday,False,False,False,False,False
TXN00826,2025-04-10,Logistics,Fuel & POL,HPCL,239700.0,CC-LOG-1,EMP1024,Fuel & POL - routine logistics expense,2025-04,Thursday,False,False,False,False,False
TXN01663,2025-04-10,It,IT Services & Software,Wipro,191700.0,CC-IT-1,EMP1030,IT Services & Software - routine it expense,2025-04,Thursday,False,False,False,False,False
TXNOS001,2025-04-11,Maintenance,Equipment Maintenance,Local Workshop Co,566200.0,CC-MAI-1,EMP1012,Equipment Maintenance - recurring high-cost vendor,2025-04,Friday,False,False,False,False,False
TXN01496,2025-04-12,Hse,Utilities,Municipal Water Dept,174600.0,CC-HSE-3,EMP1033,Utilities - routine hse expense,2025-04,Saturday,True,False,False,False,False
TXN01640,2025-04-12,Procurement,Office Supplies,Local Stationery Mart,3600.0,CC-PRO-2,EMP1042,Office Supplies - routine procurement expense,2025-04,Saturday,True,False,False,False,False
TXN01382,2025-04-12,Logistics,Utilities,Municipal Water Dept,128100.0,CC-LOG-3,EMP1003,Utilities - routine logistics expense,2025-04,Saturday,True,False,False,False,False
TXN00221,2025-04-12,Maintenance,IT Services & Software,Microsoft India,262300.0,CC-MAI-1,EMP1023,IT Services & Software - routine maintenance expense,2025-04,Saturday,True,False,False,False,False
TXN00240,2025-04-12,Hse,Contractor Payment,Local Contractor Pvt Ltd,480100.0,CC-HSE-1,EMP1006,Contractor Payment - routine hse expense,2025-04,Saturday,True,False,False,False,False
TXN00682,2025-04-12,Hr,IT Services & Software,Local IT Vendor,344300.0,CC-HR-2,EMP1020,IT Services & Software - routine hr expense,2025-04,Saturday,True,False,False,False,False
TXN01551,2025-04-13,Maintenance,Equipment Maintenance,Schlumberger,584500.0,CC-MAI-3,EMP1007,Equipment Maintenance - routine maintenance expense,2025-04,Sunday,True,False,False,False,False
TXN01751,2025-04-13,Logistics,Utilities,State Electricity Board,97400.0,CC-LOG-3,EMP1035,Utilities - routine logistics expense,2025-04,Sunday,True,False,False,False,False
TXN01768,2025-04-13,Finance,Catering & Hospitality,Local Caterers Assoc,26800.0,CC-FIN-1,EMP1039,Catering & Hospitality - routine finance expense,2025-04,Sunday,True,False,False,False,False
TXN01754,2025-04-14,Production,Catering & Hospitality,Local Caterers Assoc,46300.0,CC-PRO-1,EMP1029,Catering & Hospitality - routine production expense,2025-04,Monday,False,False,False,False,False
TXN01570,2025-04-14,Hse,Office Supplies,Staples India,3500.0,CC-HSE-3,EMP1005,Office Supplies - routine hse expense,2025-04,Monday,False,False,False,False,False
TXN01240,2025-04-14,Finance,Catering & Hospitality,Local Caterers Assoc,41500.0,CC-FIN-3,EMP1002,Catering & Hospitality - routine finance expense,2025-04,Monday,False,False,False,False,False
TXN00413,2025-04-14,Finance,IT Services & Software,TCS,7600.0,CC-FIN-1,EMP1025,IT Services & Software - routine finance expense,2025-04,Monday,False,False,False,False,False
TXN00419,2025-04-15,Logistics,Utilities,Municipal Water Dept,53800.0,CC-LOG-2,EMP1017,Utilities - routine logistics expense,2025-04,Tuesday,False,False,False,False,False
TXN01338,2025-04-15,Hr,Fuel & POL,BPCL,101300.0,CC-HR-1,EMP1012,Fuel & POL - routine hr expense,2025-04,Tuesday,False,False,False,False,False
TXN00851,2025-04-15,Finance,Equipment Maintenance,Schlumberger,452200.0,CC-FIN-1,EMP1017,Equipment Maintenance - routine finance expense,2025-04,Tuesday,False,False,False,False,False
TXN01257,2025-04-15,Drilling,Contractor Payment,Tata Projects,724000.0,CC-DRI-3,EMP1010,Contractor Payment - routine drilling expense,2025-04,Tuesday,False,False,False,False,False
TXN00514,2025-04-15,Hr,Travel & Conveyance,Local Taxi Union,23500.0,CC-HR-2,EMP1000,Travel & Conveyance - routine hr expense,2025-04,Tuesday,False,False,False,False,False
TXN01489,2025-04-15,Procurement,Catering & Hospitality,Taj Catering Services,43100.0,CC-PRO-2,EMP1037,Catering & Hospitality - routine procurement expense,2025-04,Tuesday,False,False,False,False,False
TXN01368,2025-04-15,It,Equipment Maintenance,BHEL,74700.0,CC-IT-2,EMP1045,Equipment Maintenance - routine it expense,2025-04,Tuesday,False,False,False,False,False
TXN00868,2025-04-15,Drilling,Contractor Payment,Tata Projects,480000.0,CC-DRI-2,EMP1012,Contractor Payment - routine drilling expense,2025-04,Tuesday,False,False,False,False,False
TXN01480,2025-04-15,Procurement,Office Supplies,Staples India,3000.0,CC-PRO-3,EMP1022,Office Supplies - routine procurement expense,2025-04,Tuesday,False,False,False,False,False
TXN00698,2025-04-16,Production,Contractor Payment,Tata Projects,1517200.0,CC-PRO-1,EMP1028,Contractor Payment - routine production expense,2025-04,Wednesday,False,False,True,False,True
TXN00787,2025-04-17,Logistics,Office Supplies,Staples India,11100.0,CC-LOG-1,EMP1021,Office Supplies - routine logistics expense,2025-04,Thursday,False,False,False,False,False
TXN01623,2025-04-17,Logistics,Utilities,Municipal Water Dept,143300.0,CC-LOG-1,EMP1012,Utilities - routine logistics expense,2025-04,Thursday,False,False,False,False,False
TXN00087,2025-04-17,Logistics,Office Supplies,Local Stationery Mart,7200.0,CC-LOG-2,EMP1031,Office Supplies - routine logistics expense,2025-04,Thursday,False,False,False,False,False
TXN00202,2025-04-17,Hr,Catering & Hospitality,Taj Catering Services,17400.0,CC-HR-2,EMP1011,Catering & Hospitality - routine hr expense,2025-04,Thursday,False,False,False,False,False
TXN00005,2025-04-17,Hr,Contractor Payment,Local Contractor Pvt Ltd,1967300.0,CC-HR-3,EMP1006,Contractor Payment - routine hr expense,2025-04,Thursday,False,False,True,False,True
TXN00655,2025-04-17,Procurement,Equipment Maintenance,Larsen & Toubro,407200.0,CC-PRO-1,EMP1039,Equipment Maintenance - routine procurement expense,2025-04,Thursday,False,False,False,False,False
TXN01478,2025-04-18,It,Office Supplies,Staples India,11000.0,CC-IT-3,EMP1016,Office Supplies - routine it expense,2025-04,Friday,False,False,False,False,False
TXN01300,2025-04-18,Procurement,Utilities,Municipal Water Dept,100400.0,CC-PRO-3,EMP1038,Utilities - routine procurement expense,2025-04,Friday,False,False,False,False,False
TXN01731,2025-04-18,Admin,Training & Seminars,NIIT,12100.0,CC-ADM-3,EMP1032,Training & Seminars - routine admin expense,2025-04,Friday,False,False,False,False,False
TXN01011,2025-04-18,Hse,Catering & Hospitality,Taj Catering Services,9200.0,CC-HSE-2,EMP1030,Catering & Hospitality - routine hse expense,2025-04,Friday,False,False,False,False,False
TXN00401,2025-04-18,Hr,Catering & Hospitality,Local Caterers Assoc,44400.0,CC-HR-2,EMP1040,Catering & Hospitality - routine hr expense,2025-04,Friday,False,False,False,False,False
TXN01762,2025-04-19,Procurement,Fuel & POL,IndianOil Corp,248900.0,CC-PRO-1,EMP1000,Fuel & POL - routine procurement expense,2025-04,Saturday,True,False,False,False,False
TXN00909,2025-04-19,Admin,IT Services & Software,Local IT Vendor,299000.0,CC-ADM-3,EMP1049,IT Services & Software - routine admin expense,2025-04,Saturday,True,False,False,False,False
TXN01158,2025-04-19,Production,Fuel & POL,HPCL,82700.0,CC-PRO-2,EMP1048,Fuel & POL - routine production expense,2025-04,Saturday,True,False,False,False,False
TXN01591,2025-04-19,Hr,Training & Seminars,Internal Training Cell,49100.0,CC-HR-1,EMP1022,Training & Seminars - routine hr expense,2025-04,Saturday,True,False,False,False,False
TXN00542,2025-04-19,Finance,Contractor Payment,Tata Projects,532600.0,CC-FIN-1,EMP1011,Contractor Payment - routine finance expense,2025-04,Saturday,True,False,False,False,False
TXN00736,2025-04-19,Production,Equipment Maintenance,Schlumberger,484900.0,CC-PRO-1,EMP1027,Equipment Maintenance - routine production expense,2025-04,Saturday,True,False,False,False,False
TXN00888,2025-04-19,Drilling,Travel & Conveyance,IRCTC,33900.0,CC-DRI-2,EMP1015,Travel & Conveyance - routine drilling expense,2025-04,Saturday,True,False,False,False,False
TXN01177,2025-04-20,Drilling,Catering & Hospitality,Taj Catering Services,18500.0,CC-DRI-1,EMP1035,Catering & Hospitality - routine drilling expense,2025-04,Sunday,True,False,False,False,False
TXN00984,2025-04-20,Logistics,Training & Seminars,IIM Institute,56400.0,CC-LOG-1,EMP1044,Training & Seminars - routine logistics expense,2025-04,Sunday,True,False,False,False,False
TXN00901,2025-04-20,Production,IT Services & Software,Local IT Vendor,37000.0,CC-PRO-2,EMP1016,IT Services & Software - routine production expense,2025-04,Sunday,True,False,False,True,True
TXN01684,2025-04-20,Hr,IT Services & Software,Local IT Vendor,59300.0,CC-HR-1,EMP1041,IT Services & Software - routine hr expense,2025-04,Sunday,True,False,False,False,False
TXN00363,2025-04-20,Procurement,Training & Seminars,Internal Training Cell,70900.0,CC-PRO-2,EMP1036,Training & Seminars - routine procurement expense,2025-04,Sunday,True,False,False,False,False
TXN01513,2025-04-20,Procurement,Contractor Payment,Local Contractor Pvt Ltd,1299400.0,CC-PRO-1,EMP1041,Contractor Payment - routine procurement expense,2025-04,Sunday,True,False,True,False,True
TXN00476,2025-04-20,Hr,Equipment Maintenance,Local Workshop Co,226300.0,CC-HR-1,EMP1012,Equipment Maintenance - routine hr expense,2025-04,Sunday,True,False,False,False,False
TXN00439,2025-04-21,Admin,Equipment Maintenance,Local Workshop Co,427700.0,CC-ADM-2,EMP1043,Equipment Maintenance - routine admin expense,2025-04,Monday,False,False,False,False,False
TXN01107,2025-04-21,Maintenance,Training & Seminars,IIM Institute,18800.0,CC-MAI-2,EMP1017,Training & Seminars - routine maintenance expense,2025-04,Monday,False,False,False,False,False
TXN01410,2025-04-21,Logistics,Utilities,State Electricity Board,122400.0,CC-LOG-2,EMP1043,Utilities - routine logistics expense,2025-04,Monday,False,False,False,False,False
TXN00718,2025-04-21,Production,Equipment Maintenance,BHEL,82300.0,CC-PRO-2,EMP1044,Equipment Maintenance - routine production expense,2025-04,Monday,False,False,False,False,False
TXN00307,2025-04-22,Production,Catering & Hospitality,Taj Catering Services,30100.0,CC-PRO-3,EMP1008,Catering & Hospitality - routine production expense,2025-04,Tuesday,False,False,False,False,False
TXN01811,2025-04-22,Production,IT Services & Software,Local IT Vendor,37000.0,CC-PRO-2,EMP1016,IT Services & Software - routine production expense (possible duplicate),2025-04,Tuesday,False,False,False,True,True
TXN01153,2025-04-22,It,IT Services & Software,Wipro,311200.0,CC-IT-2,EMP1004,IT Services & Software - routine it expense,2025-04,Tuesday,False,False,False,False,False
TXN00584,2025-04-22,Logistics,Contractor Payment,Tata Projects,1062500.0,CC-LOG-2,EMP1018,Contractor Payment - routine logistics expense,2025-04,Tuesday,False,False,False,False,False
TXN00768,2025-04-22,Hse,Travel & Conveyance,IRCTC,28500.0,CC-HSE-1,EMP1006,Travel & Conveyance - routine hse expense,2025-04,Tuesday,False,False,False,False,False
TXN00563,2025-04-23,Production,Catering & Hospitality,Taj Catering Services,17700.0,CC-PRO-1,EMP1049,Catering & Hospitality - routine production expense,2025-04,Wednesday,False,False,False,False,False
TXN00765,2025-04-23,Admin,Office Supplies,Local Stationery Mart,5800.0,CC-ADM-3,EMP1024,Office Supplies - routine admin expense,2025-04,Wednesday,False,False,False,False,False
TXN01040,2025-04-23,Hr,Office Supplies,Local Stationery Mart,11900.0,CC-HR-1,EMP1002,Office Supplies - routine hr expense,2025-04,Wednesday,False,False,False,False,False
TXN01308,2025-04-24,Hr,Office Supplies,Local Stationery Mart,1400.0,CC-HR-1,EMP1031,Office Supplies - routine hr expense,2025-04,Thursday,False,False,False,False,False
TXN01648,2025-04-24,Drilling,IT Services & Software,TCS,196400.0,CC-DRI-3,EMP1031,IT Services & Software - routine drilling expense,2025-04,Thursday,False,False,False,False,False
TXN01512,2025-04-24,Procurement,Fuel & POL,IndianOil Corp,61800.0,CC-PRO-2,EMP1044,Fuel & POL - routine procurement expense,2025-04,Thursday,False,False,False,False,False
TXN00680,2025-04-25,Procurement,Training & Seminars,Internal Training Cell,78500.0,CC-PRO-2,EMP1000,Training & Seminars - routine procurement expense,2025-04,Friday,False,False,False,True,True
TXN01559,2025-04-25,Hse,Office Supplies,Staples India,9100.0,CC-HSE-1,EMP1033,Office Supplies - routine hse expense,2025-04,Friday,False,False,False,False,False
TXN00627,2025-04-25,Finance,Training & Seminars,Internal Training Cell,7000.0,CC-FIN-2,EMP1029,Training & Seminars - routine finance expense,2025-04,Friday,False,False,False,False,False
TXN01604,2025-04-25,Hse,Catering & Hospitality,Local Caterers Assoc,12800.0,CC-HSE-1,EMP1003,Catering & Hospitality - routine hse expense,2025-04,Friday,False,False,False,False,False
TXN00737,2025-04-26,Procurement,Travel & Conveyance,IRCTC,2600.0,CC-PRO-2,EMP1036,Travel & Conveyance - routine procurement expense,2025-04,Saturday,True,False,False,False,False
TXN01285,2025-04-26,Production,Travel & Conveyance,IRCTC,26800.0,CC-PRO-2,EMP1027,Travel & Conveyance - routine production expense,2025-04,Saturday,True,False,False,False,False
TXN00322,2025-04-26,Maintenance,Catering & Hospitality,Local Caterers Assoc,43500.0,CC-MAI-1,EMP1004,Catering & Hospitality - routine maintenance expense,2025-04,Saturday,True,False,False,False,False
TXN01043,2025-04-26,Production,Contractor Payment,Local Contractor Pvt Ltd,156000.0,CC-PRO-1,EMP1043,Contractor Payment - routine production expense,2025-04,Saturday,True,False,False,False,False
TXN01487,2025-04-26,It,Office Supplies,Local Stationery Mart,5500.0,CC-IT-1,EMP1036,Office Supplies - routine it expense,2025-04,Saturday,True,False,False,False,False
TXN00694,2025-04-26,Procurement,Travel & Conveyance,IRCTC,24600.0,CC-PRO-3,EMP1003,Travel & Conveyance - routine procurement expense,2025-04,Saturday,True,False,False,False,False
TXN01232,2025-04-27,Logistics,Catering & Hospitality,Taj Catering Services,38500.0,CC-LOG-2,EMP1024,Catering & Hospitality - routine logistics expense,2025-04,Sunday,True,False,False,False,False
TXN01230,2025-04-27,Hse,Utilities,Municipal Water Dept,96300.0,CC-HSE-2,EMP1046,Utilities - routine hse expense,2025-04,Sunday,True,False,False,False,False
TXN00503,2025-04-27,Logistics,Office Supplies,Staples India,11100.0,CC-LOG-2,EMP1017,Office Supplies - routine logistics expense,2025-04,Sunday,True,False,False,False,False
TXN01711,2025-04-27,It,Equipment Maintenance,Larsen & Toubro,530000.0,CC-IT-3,EMP1011,Equipment Maintenance - routine it expense,2025-04,Sunday,True,False,False,False,False
TXN01136,2025-04-28,Drilling,IT Services & Software,Local IT Vendor,249200.0,CC-DRI-3,EMP1045,IT Services & Software - routine drilling expense,2025-04,Monday,False,False,False,False,False
TXN01815,2025-04-28,Procurement,Training & Seminars,Internal Training Cell,78500.0,CC-PRO-2,EMP1000,Training & Seminars - routine procurement expense (possible duplicate),2025-04,Monday,False,False,False,True,True
TXN00633,2025-04-28,Admin,Travel & Conveyance,Air India,13200.0,CC-ADM-3,EMP1036,Travel & Conveyance - routine admin expense,2025-04,Monday,False,False,False,False,False
TXN00045,2025-04-28,Drilling,Office Supplies,Staples India,11600.0,CC-DRI-1,EMP1020,Office Supplies - routine drilling expense,2025-04,Monday,False,False,False,False,False
TXN00758,2025-04-28,Finance,Training & Seminars,Internal Training Cell,13400.0,CC-FIN-3,EMP1003,Training & Seminars - routine finance expense,2025-04,Monday,False,False,False,False,False
TXN01085,2025-04-29,Drilling,Utilities,State Electricity Board,28000.0,CC-DRI-1,EMP1016,Utilities - routine drilling expense,2025-04,Tuesday,False,False,False,False,False
TXN01705,2025-04-29,Production,Equipment Maintenance,Larsen & Toubro,219600.0,CC-PRO-2,EMP1044,Equipment Maintenance - routine production expense,2025-04,Tuesday,False,False,False,False,False
TXN01033,2025-04-29,Logistics,Travel & Conveyance,IRCTC,20200.0,CC-LOG-1,EMP1016,Travel & Conveyance - routine logistics expense,2025-04,Tuesday,False,False,False,False,False
TXN01534,2025-04-29,Logistics,Office Supplies,Staples India,10600.0,CC-LOG-1,EMP1004,Office Supplies - routine logistics expense,2025-04,Tuesday,False,False,False,False,False
TXN01673,2025-04-29,Admin,Training & Seminars,Internal Training Cell,66300.0,CC-ADM-2,EMP1008,Training & Seminars - routine admin expense,2025-04,Tuesday,False,False,False,False,False
TXN01081,2025-04-29,Finance,Utilities,State Electricity Board,26900.0,CC-FIN-1,EMP1039,Utilities - routine finance expense,2025-04,Tuesday,False,False,False,False,False
TXN00813,2025-04-30,Hr,IT Services & Software,TCS,152100.0,CC-HR-3,EMP1030,IT Services & Software - routine hr expense,2025-04,Wednesday,False,False,False,False,False
TXN01315,2025-04-30,Procurement,Catering & Hospitality,Local Caterers Assoc,56600.0,CC-PRO-1,EMP1009,Catering & Hospitality - routine procurement expense,2025-04,Wednesday,False,False,False,False,False
TXN01091,2025-04-30,Finance,Utilities,Municipal Water Dept,159100.0,CC-FIN-3,EMP1048,Utilities - routine finance expense,2025-04,Wednesday,False,False,False,False,False
TXN00906,2025-05-01,It,Office Supplies,Local Stationery Mart,3500.0,CC-IT-1,EMP1013,Office Supplies - routine it expense,2025-05,Thursday,False,False,False,False,False
TXN01028,2025-05-02,It,Travel & Conveyance,IRCTC,5700.0,CC-IT-1,EMP1017,Travel & Conveyance - routine it expense,2025-05,Friday,False,False,False,False,False
TXN01482,2025-05-02,Procurement,Utilities,State Electricity Board,65700.0,CC-PRO-3,EMP1011,Utilities - routine procurement expense,2025-05,Friday,False,False,False,False,False
TXN01182,2025-05-02,Hse,Contractor Payment,Reliance Infra Services,1829600.0,CC-HSE-2,EMP1021,Contractor Payment - routine hse expense,2025-05,Friday,False,False,False,False,False
TXN00161,2025-05-02,Admin,Utilities,Municipal Water Dept,24800.0,CC-ADM-3,EMP1020,Utilities - routine admin expense,2025-05,Friday,False,False,False,False,False
TXN00897,2025-05-03,Procurement,Contractor Payment,Tata Projects,453600.0,CC-PRO-3,EMP1004,Contractor Payment - routine procurement expense,2025-05,Saturday,True,False,False,False,False
TXN00263,2025-05-03,Hr,Fuel & POL,IndianOil Corp,248400.0,CC-HR-3,EMP1040,Fuel & POL - routine hr expense,2025-05,Saturday,True,False,False,False,False
